('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163977 function calls (159128 primitive calls) in 6.027 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        2    0.000    0.000    0.002    0.001 client.py:231(_parse_header_lines)
        1    0.000    0.000    0.016    0.016 url.py:1(<module>)
       43    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2316(__init__)
       80    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      298    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       30    0.000    0.000    0.000    0.000 enum.py:1059(_add_member_)
        1    0.000    0.000    0.001    0.001 sessions.py:390(__init__)
      187    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       13    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       69    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      192    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 cookiejar.py:1357(add_cookie_header)
        2    0.000    0.000    0.000    0.000 response.py:722(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1488(_path_hooks)
        2    0.000    0.000    0.013    0.006 request.py:1(<module>)
       24    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
    57/31    0.000    0.000    0.099    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.809    0.809 api.py:62(get)
       45    0.000    0.000    0.000    0.000 contextlib.py:136(__enter__)
        2    0.000    0.000    0.000    0.000 adapters.py:178(__init__)
       12    0.000    0.000    0.000    0.000 queue.py:137(put)
        3    0.000    0.000    0.000    0.000 url.py:367(parse_url)
        4    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(__init__)
        7    0.000    0.000    0.002    0.000 typing.py:2979(_make_nmtuple)
        3    0.000    0.000    0.012    0.004 utils.py:755(should_bypass_proxies)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1939(__init__)
       41    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
        3    0.000    0.000    0.031    0.010 response.py:1(<module>)
        1    0.000    0.000    0.016    0.016 ssl.py:1(<module>)
       47    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.043    0.043 client.py:1(<module>)
      160    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x10565c0e0}
        2    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
       55    0.000    0.000    0.000    0.000 _compiler.py:470(_get_charset_prefix)
       22    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 poolmanager.py:199(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      211    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
       33    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
       80    0.000    0.000    0.032    0.000 __init__.py:287(compile)
       21    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
       18    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       10    0.000    0.000    0.001    0.000 structures.py:40(__init__)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.808    0.808 sessions.py:500(request)
        2    0.000    0.000    0.613    0.307 connectionpool.py:377(_make_request)
        1    0.000    0.000    0.060    0.060 connection.py:198(_new_conn)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      210    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      3/2    0.000    0.000    0.547    0.274 sessions.py:159(resolve_redirects)
        3    0.000    0.000    0.000    0.000 retry.py:202(__init__)
        2    0.000    0.000    0.000    0.000 connection.py:424(request)
       13    0.000    0.000    0.000    0.000 threading.py:122(RLock)
        2    0.000    0.000    0.000    0.000 response.py:466(__init__)
        2    0.000    0.000    0.001    0.000 adapters.py:336(build_response)
       41    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
      160    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
       42    0.000    0.000    0.000    0.000 typing.py:1307(__init__)
        2    0.000    0.000    0.003    0.001 models.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       98    0.000    0.000    0.001    0.000 _parser.py:97(closegroup)
       46    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      136    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       51    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
        1    0.000    0.000    0.000    0.000 _colorize.py:1(<module>)
        2    0.000    0.000    0.098    0.049 exceptions.py:1(<module>)
        6    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
       80    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       20    0.000    0.000    0.000    0.000 parse.py:164(hostname)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
       10    0.000    0.000    0.000    0.000 client.py:1294(putheader)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1681(extract_cookies)
        3    0.000    0.000    0.011    0.004 request.py:2674(proxy_bypass)
        1    0.000    0.000    0.059    0.059 connection.py:27(create_connection)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        4    0.000    0.000    0.001    0.000 feedparser.py:178(_call_parse)
      191    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        6    0.000    0.000    0.000    0.000 cookiejar.py:1600(make_cookies)
        2    0.000    0.000    0.000    0.000 adapters.py:216(init_poolmanager)
        1    0.000    0.000    0.001    0.001 response.py:356(_get_decoder)
        1    0.000    0.000    0.043    0.043 connectionpool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1044(_new_conn)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.038    0.038 ssl.py:990(_create)
       60    0.000    0.000    0.000    0.000 enum.py:764(__delattr__)
        1    0.000    0.000    0.001    0.001 models.py:409(prepare_url)
        1    0.000    0.000    0.023    0.023 ssl_.py:1(<module>)
        1    0.000    0.000    0.020    0.020 cookiejar.py:1(<module>)
        2    0.000    0.000    0.002    0.001 parser.py:56(parsestr)
       13    0.000    0.000    0.000    0.000 queue.py:177(get)
