('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163976 function calls (159127 primitive calls) in 1.233 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       26    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       26    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       26    0.000    0.000    0.000    0.000 threading.py:303(__enter__)
       26    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
       26    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       26    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       25    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       25    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       25    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       25    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       25    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       25    0.000    0.000    0.000    0.000 <frozen _collections_abc>:897(__iter__)
       25    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
    25/21    0.000    0.000    0.001    0.000 typing.py:574(__getitem__)
       25    0.000    0.000    0.000    0.000 threading.py:398(notify)
       25    0.000    0.000    0.000    0.000 threading.py:318(_is_owned)
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
       25    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       25    0.000    0.000    0.000    0.000 queue.py:305(_qsize)
       24    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
    24/21    0.042    0.002    0.043    0.002 {built-in method _imp.create_dynamic}
       24    0.004    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
       24    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
       24    0.000    0.000    0.000    0.000 <frozen os>:794(encode)
       24    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1308(__init__)
    24/21    0.000    0.000    0.043    0.002 <frozen importlib._bootstrap_external>:1319(create_module)
       24    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1327(exec_module)
       24    0.000    0.000    0.000    0.000 enum.py:1337(value)
       24    0.000    0.000    0.000    0.000 enum.py:248(__init__)
       24    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
       24    0.000    0.000    0.000    0.000 enum.py:199(__get__)
       24    0.000    0.000    0.006    0.000 enum.py:251(__set_name__)
       22    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       22    0.000    0.000    0.000    0.000 parse.py:205(_hostinfo)
       22    0.000    0.000    0.007    0.000 enum.py:498(__new__)
       21    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
       21    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
       21    0.000    0.000    0.001    0.000 typing.py:753(Union)
       21    0.000    0.000    0.000    0.000 timeout.py:130(_validate_timeout)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
    20/10    0.000    0.000    0.127    0.013 {built-in method builtins.__import__}
       20    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
       20    0.000    0.000    0.000    0.000 parse.py:164(hostname)
       20    0.000    0.000    0.000    0.000 connection.py:412(<genexpr>)
       19    0.001    0.000    0.207    0.011 {method 'join' of 'bytes' objects}
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       19    0.000    0.000    0.000    0.000 enum.py:1449(_iter_member_by_def_)
       19    0.000    0.000    0.000    0.000 typing.py:2696(overload)
       18    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       18    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       18    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1717(path_hook_for_FileFinder)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:305(escape)
